AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
-2.697011069,-3.005018854,-6.651415449,-3.05036324,0.508430928,-4.734422516,-5.016595498,-3.414993275,-2.792397506,-1.607760124,-5.41060483,-2.610051885,-4.166282259,-3.390106071,-1.339741357,-2.666907473,-2.358803465,-2.878721062,-3.0844331,-1.203651586,-3.266272523,-1.321128693,-1.107191903,-3.131067686,-5.302950567,-0.984245703,-0.312416068,-8.595158322,-1.685452479,-2.892599105,-4.518533715,-3.401483746,-0.524443602,-0.990500832,-4.065514549,-5.025745616,-0.158344349,-0.385782996,-2.996753436,-1.005639949,-4.62502373,-2.484568955,-2.974715765,-1.693012792,-0.440054648,-32.9277158,-0.054291726,-0.818199368,-2.682231397,-4.289463024,-5.458138943,-2.418584823,-0.5022227,-1.247852875,-4.756404748,-10.46647626,-6.380870468,-2.431861282,-1.378576908,-2.157613611,-1.426105608,-1.034719122,-1.041610614,-1.123930589,-1.187201838,-1.239211916,-1.637265728,-4.057871702,-3.47559915,-2.362928052,-10.41087849,-8.362932985,-6.102869594,-2.794555964,-0.976943346,-2.508888201,-3.095814093,-1.655598077,-5.181839575,-3.456545502,-10.08173483,-1.42987207,-2.522400802,-2.452991954,-0.200551022,-5.319259496,-7.311073577,-0.859615979,-2.094321689,-5.633340986,-3.997227579,-1.611417867,-0.424654619,-5.72413469,-3.062740157,-1.003153218
-2.554136211,-2.790609132,-6.437165166,-2.978828376,-0.134426215,-4.806258542,-5.016595498,-3.271994409,-2.578182654,-1.464902981,-5.553674558,-2.109892447,-4.309334272,-3.461552358,-1.411276221,-2.666942904,-2.144411458,-3.021649067,-3.155843956,-1.203722447,-3.408793073,-1.178165258,-1.53588734,-3.05965683,-5.517413435,-0.698549132,-0.241093789,-8.738033181,-1.542559906,-2.821170534,-4.447087428,-3.11573403,-0.381568743,-0.990376824,-3.9939974,-4.740049046,-0.015451775,-0.385375541,-2.711003719,-1.00567538,-4.26777458,-2.341552373,-3.117555192,-1.621708229,-0.368555214,-31.57177759,0.088653994,-0.818199368,-2.682266827,-4.289569317,-5.45842239,-2.347120821,-0.502364424,-1.319334593,-4.542065888,-10.18077969,-6.309371035,-2.432233306,-1.307130621,-2.086202755,-1.211819893,-0.963325982,-1.041646045,-1.123912874,-1.115861844,-1.2391942,-1.63714172,-3.914961413,-3.618527154,-2.219486301,-10.55357619,-7.862932985,-6.603241617,-2.366037682,-0.977155931,-2.294513909,-3.310046661,-1.441259216,-5.038858425,-3.313670644,-9.938859968,-1.358425783,-2.379401936,-2.381705106,0.299448978,-5.176242914,-7.239485567,-0.930867396,-2.022680532,-5.490342119,-3.925621853,-1.539847573,-0.424778627,-5.795580977,-2.991329301,-1.003560673
-2.482672209,-2.719074268,-6.008629168,-2.978722084,-0.13444393,-4.663791139,-4.588024069,-2.986156115,-2.36393237,-1.607760124,-5.053904858,-2.18119701,-4.452404,-3.318730646,-1.482811085,-2.666978335,-1.787180024,-2.807398783,-3.013004529,-1.060953881,-3.337063339,-0.820933823,-1.89317192,-2.702496257,-5.94623288,-0.627138276,0.115942775,-9.309532614,-1.756810189,-2.821205965,-4.447069712,-2.901395169,-0.452979599,-1.133127674,-3.708212253,-4.668655905,-0.30113063,-0.456361227,-2.496718005,-1.077139382,-4.053400289,-2.341375219,-2.903234047,-1.550421381,-0.511341496,-29.93024911,0.088848864,-1.032485082,-2.682302258,-4.218247038,-5.315813263,-1.989942533,-0.502506147,-1.319405455,-4.184852169,-9.752190544,-6.523568172,-2.361159043,-1.30709519,-2.086185039,-1.211819893,-0.749075698,-1.041681476,-1.123912874,-0.973110994,-1.024908486,-1.351285711,-3.629176265,-3.618580301,-2.004633693,-10.26782648,-7.505878705,-6.746559361,-0.794697687,-1.191636515,-2.294354471,-3.452832942,-1.369777499,-4.538734417,-3.385134646,-9.581663965,-1.286961781,-2.236403069,-2.45323997,0.370877549,-5.033244048,-6.810754699,-0.930690242,-1.87962852,-5.275896966,-3.782569841,-1.539723565,-0.42488492,-5.224187836,-2.705650446,-0.789700129
-2.411225922,-2.43328912,-5.580110886,-2.907169504,-0.277336504,-4.521270589,-4.445149211,-2.771781824,-2.006807228,-1.679188695,-5.054170589,-2.109662146,-4.166920014,-3.175908934,-1.411453375,-2.524156623,-1.501448023,-2.950273641,-2.584468531,-0.489596172,-3.122511893,-0.749416675,-1.607652504,-2.631067686,-5.803676899,-0.627173707,-0.241306374,-8.738281197,-1.613935331,-2.749795109,-4.30421257,-2.329895736,-0.38162189,-1.34728938,-3.422480252,-4.311548479,-0.301095199,-0.527329197,-2.21103915,-1.005746242,-3.767597426,-1.912644352,-2.760376904,-1.550563104,-0.368413491,-28.64584576,0.017526585,-0.746788512,-2.468051975,-4.289764186,-5.316114425,-2.061335674,-0.431219299,-1.462333459,-3.970477877,-9.466511689,-6.380657883,-2.218638493,-1.235631188,-2.014667891,-1.06896275,-0.963396843,-1.113145478,-1.052484302,-0.973217286,-1.096337058,-0.99400113,-3.557676832,-3.475776304,-1.789887378,-10.76786191,-7.220270711,-6.604127388,-0.151893691,-1.048956527,-2.365676749,-3.024172937,-1.298331212,-4.752878408,-3.456616364,-9.724467961,-1.358354922,-2.093404203,-2.310489119,0.299448978,-4.890262897,-6.882059263,-1.001923943,-1.950879937,-5.061416383,-3.425249829,-1.611045844,-0.424973497,-5.295580977,-2.63423959,-0.790125299
-2.33979735,-2.504629115,-5.580164032,-2.978456353,-0.420229077,-4.164464325,-4.516542352,-2.55749611,-1.578288946,-1.607760124,-4.69734661,-1.609626715,-3.381382883,-2.890230079,-1.340060235,-2.238495484,-1.358626311,-2.950326788,-2.370235963,-0.775363604,-2.479389019,-0.463596097,-0.822221665,-2.488281405,-5.375388917,-0.627209138,-0.312841238,-7.738458351,-1.542489044,-2.535509394,-4.232801714,-2.186985447,-0.310317326,-0.990022515,-3.565372826,-3.811601625,-0.086774054,-0.384011454,-2.211074581,-0.934353101,-3.838990567,-1.912555775,-2.474698049,-1.550704827,-0.511235203,-26.07565727,0.088955156,-0.175395371,-2.325230263,-4.004138478,-5.030754448,-1.9184431,-0.431361022,-1.390975749,-3.613264158,-9.252332267,-6.452086454,-2.218957371,-1.021310043,-1.871722171,-0.854677036,-0.606289417,-1.041752338,-0.981073446,-0.759037865,-0.810622772,-0.63671655,-3.343320256,-3.404400879,-1.503783353,-10.05361163,-6.434627287,-7.104499412,-0.080482835,-0.906276538,-2.008516177,-3.024102075,-1.084045498,-4.824165256,-3.528098082,-9.367289673,-1.286890919,-2.021816193,-2.239184556,0.156591835,-4.67587089,-6.739078112,-1.001729074,-1.950702783,-4.775507227,-3.210840107,-1.610939551,-0.282187216,-5.009778114,-2.634257306,-0.576229324
-1.911190491,-2.290219392,-4.937289174,-2.835439771,-0.705978794,-4.307640345,-4.373649778,-2.771817255,-1.364038663,-1.179188695,-4.412022063,-1.395447294,-2.810096035,-2.461694081,-0.982952808,-1.952798913,-0.930108028,-2.80748736,-2.15602111,-0.632577323,-2.193426718,0.108009629,-0.251041109,-2.488334551,-4.87572551,-0.270101712,-0.241483528,-7.310064076,-1.39959647,-1.964080823,-4.089980002,-1.972628871,-0.453280762,-0.84705908,-3.70830083,-3.383083343,-0.086738623,-0.026407996,-1.853967155,-0.791531389,-3.98184771,-1.76962777,-2.403304909,-1.550864266,-0.36837806,-24.00545106,0.231812299,0.038854912,-2.182408551,-3.575673342,-4.459680184,-2.061264812,-0.574359889,-1.248189468,-3.541782441,-8.966688843,-6.023532741,-2.29070482,-1.092703184,-1.800222738,-0.854677036,-0.606324848,-1.11321634,-0.90966259,-0.759144157,-0.882051343,-0.636574826,-3.057535109,-3.261596882,-1.646215325,-10.19638019,-6.220377004,-7.033389718,-0.223393124,-0.83498969,-2.008516177,-2.38117407,-0.798348927,-4.609755533,-3.385347231,-9.224379384,-1.35828406,-1.878781896,-2.025005134,0.228020406,-4.175782313,-6.381811247,-1.072980491,-1.950525629,-4.561062074,-2.925019529,-1.325118973,-0.210864937,-4.724010682,-2.277149879,-0.790833916
-2.053959057,-2.004345668,-4.294378885,-2.835262617,-0.134550223,-3.450763219,-4.302150345,-2.27183497,-0.864074093,-0.750634982,-4.626715232,-1.467017588,-2.810166897,-2.176015226,-0.911577383,-1.809924055,-0.858732603,-2.664559356,-2.013252545,-0.775505327,-1.621732415,0.108257645,0.320228023,-2.41690598,-4.304615816,-0.055851428,-0.312929815,-6.096008663,-1.113864469,-1.178366537,-4.232872575,-1.258219149,-0.524815626,-0.704095645,-3.779817979,-3.240261631,-0.015274621,-0.097358251,-1.782591729,-0.648709677,-3.338955136,-1.626699766,-2.403358055,-1.55104142,-0.36837806,-21.86376314,0.160383728,0.324533767,-1.968140552,-3.504351063,-4.174355638,-1.775515095,-0.503073041,-1.391117473,-3.470283008,-9.109634563,-5.880711029,-2.290988266,-1.092667753,-1.728723305,-0.783248465,-0.606360279,-1.184680342,-0.838234019,-0.75925045,-0.882051343,-0.422147389,-2.914607104,-3.190221457,-1.288629583,-9.267596178,-5.934645003,-6.962262309,0.27655373,-0.549381697,-1.865659034,-1.95253178,-0.584098644,-4.466809813,-3.171167809,-9.010040524,-1.358248629,-1.878587026,-2.16796857,0.299448978,-3.747104592,-6.238883242,-0.858535338,-1.950348474,-4.346634636,-2.710609807,-1.253584109,-0.282399801,-4.295403823,-1.848596166,-0.719706506
-2.33956705,-1.861329086,-4.365772025,-2.47792489,0.151199494,-3.379582664,-4.087776053,-2.414745259,-0.43552038,-0.536366983,-4.055658685,-1.038570168,-2.310166897,-2.033175799,-0.697362531,-1.738495484,-0.64448232,-2.52159592,-1.513358837,-0.775593904,-1.692859824,0.679951948,1.462978874,-2.20260255,-3.590613549,0.158416571,-0.312929815,-4.167632104,-0.899578755,-1.106937966,-4.161479435,-0.97236314,-0.382029344,-0.775417923,-3.637013982,-2.811725633,0.127617953,-0.16829079,-1.568359161,-0.505887965,-3.267491134,-1.483807192,-1.832000345,-1.551218574,-0.439788916,-20.07920035,0.446098013,0.324498336,-1.825283409,-3.647314498,-3.746173949,-1.56119395,-0.503214764,-1.391188335,-3.327372719,-9.109687709,-5.809317889,-2.219754565,-0.949792894,-1.728652443,-0.640409037,-0.677824281,-1.184715773,-0.766805447,-0.759356742,-0.7391942,-0.422005665,-2.843107671,-3.047399745,-1.002507842,-8.981687022,-5.791681567,-6.676849185,-0.223481701,-0.763773704,-1.365659034,-2.238175204,-0.441276932,-4.323881809,-3.171256387,-8.938665098,-1.358213198,-1.735535014,-2.31094972,0.228020406,-3.246980584,-6.095972953,-0.786965043,-1.95017132,-4.132224914,-2.639021796,-1.324888672,-0.211077522,-4.295350676,-1.777167595,-0.862811665
-2.4823179,-1.789723361,-3.580004593,-2.477712305,-0.063050789,-3.02281183,-3.944865764,-2.414816121,0.564497335,-0.10781327,-4.127388418,-0.895837033,-1.381595468,-1.747461513,-0.626004821,-1.524209769,-0.715964037,-2.521471912,-1.156286842,-0.775682481,-1.335380374,0.680199964,1.89144401,-1.77396026,-2.733665561,0.229827427,-0.241518959,-3.31063097,-1.042435898,-1.249777393,-3.947229151,-0.90077513,-0.524957349,-0.775293915,-3.279941987,-2.168903921,0.056224812,0.046526387,-1.496966021,-0.505923396,-3.053169989,-1.269486047,-1.689214064,-1.551395729,-0.511199772,-18.86627873,0.5175443,0.53874862,-1.753854838,-3.504545932,-3.532207112,-1.632569375,-0.360499344,-1.248402053,-3.255908716,-8.752739722,-5.309371035,-2.005592858,-0.73550718,-1.585689008,-0.569033612,-0.535002569,-1.184751204,-0.766805447,-0.616605892,-0.953479915,0.078100627,-2.485893953,-2.904595748,-0.787814674,-8.553009301,-5.505825558,-5.820042921,-0.294981134,-0.763879996,-1.437087605,-2.0952472,-0.655562646,-3.752400091,-2.671380395,-8.367395966,-1.143874338,-1.735375575,-2.168252016,0.585163264,-2.746856576,-5.810294098,-0.858251891,-2.021422737,-3.703582624,-2.710273214,-1.253318378,-0.211343253,-4.081118108,-1.348596166,-0.934576829
-2.410783036,-1.50379649,-2.508522876,-2.191785434,0.651234925,-2.737522715,-3.373384047,-2.05772641,1.278783049,0.392151299,-4.127671865,-0.967354181,-0.667345185,-1.461747227,-0.411789968,-1.309924055,0.28392967,-2.09275876,-0.656322272,-0.775735628,-1.120758067,1.25184112,2.962695427,-1.70240768,-2.090914711,0.586934853,-0.24155439,-1.667897835,-0.971007326,-0.892616821,-4.018728584,-0.472026547,-0.239349356,-0.132295049,-2.565797996,-1.383225066,0.484831672,0.118539567,-1.068430023,-0.505958827,-2.410312846,-1.126611189,-1.332124353,-1.480144311,-0.154056915,-15.93930169,0.374722588,1.110124045,-1.610997695,-3.504616794,-3.675347701,-1.132516229,-0.432069639,-1.2484552,-3.041587571,-7.967149444,-4.666567038,-1.934252864,-0.806935752,-1.371279285,-0.497658187,-0.463609428,-1.184786635,-0.695394591,-0.40242647,-0.882051343,-0.064650223,-2.342965948,-2.690380896,-0.287407219,-7.338741302,-4.791380405,-5.748986374,-0.509373141,-0.692557717,-0.794212747,-1.738051196,-0.798384358,-3.109489802,-2.528664975,-7.796162264,-1.07239262,-1.66380528,-1.882714885,0.799448978,-2.246679422,-5.381758101,-1.000967311,-2.092674155,-3.846368905,-2.567203486,-1.53889094,-0.068734126,-3.581206685,-1.277203026,-0.792109426
