Timesteps,AP 1,AP 2,AP 3,AP 4,AP 5,AP 6,AP 7,AP 8,AP 9,AP 11,AP 12,AP 13,AP 14,AP 15,AP 16,AP 17,AP 18,AP 19,AP 20,AP 21,AP 22,AP 23,AP 24,AP 25,AP 26,AP 27,AP 28,AP 29,AP 31,AP 32,AP 33,AP 34,AP 37,AP 38,AP 39,AP 41,AP 42,AP 43,AP 44,AP 45,AP 46,AP 47,AP 48,AP 49,AP 50,AP 52,AP 53,AP 55,AP 56,AP 57,AP 58,AP 60,AP 61,AP 63,AP 64,AP 65,AP 67,AP 68,AP 69,AP 70,AP 71,AP 73,AP 74,AP 75,AP 76,AP 77,AP 78,AP 89,AP 96,AP 99,AP 112,AP 113,AP 114,AP 116,AP 120,AP 121,AP 123,AP 139,AP 152,AP 153,AP 154,AP 159,AP 166,AP 168,AP 173,AP 178,AP 179,AP 180,AP 181,AP 182,AP 184,AP 186,AP 189,AP 190,AP 193,AP 194
2021-05-11 02:55:00-02:00,-3.399097673,-3.593711783,-6.640130727,-2.308761712,-2.388784208,-5.749678218,-5.439909535,-3.777497091,-3.944286787,-1.553534588,-5.968730484,-4.377005542,-7.173640972,-3.197792928,-0.787185158,-2.711050211,-4.003801448,-3.597721803,-3.723865716,-0.4783169,-4.334617248,-1.874630623,-7.818647238,-3.428614509,-7.68185341,-1.033332405,-0.120436792,-16.93991674,-2.218333661,-4.525215373,-4.666691856,-3.708092688,-1.809885343,-1.569634248,-3.53240443,-5.759343863,-0.502218357,-0.184561722,-3.603257175,-0.666363774,-5.237057406,-3.343398865,-3.954885397,-1.717859349,-1.286303884,-36.96288772,-2.307556814,-1.4432457,-3.494509272,-4.671250755,-6.124509898,-2.052577443,-0.365958419,-1.491852799,-4.375104872,-10.54477296,-6.942689106,-2.095324183,-1.187005087,-1.956205644,-1.06559137,-1.00486864,-0.683749601,-1.489245705,-1.093424584,-0.964621551,-1.572943765,-5.08563449,-3.267115917,-2.578718214,-12.79037276,-10.18856692,-8.245450103,-3.539269955,-0.528189967,-4.797233908,-5.766419034,-3.522859164,-5.394083928,-4.464262612,-10.95398485,-1.341616576,-2.990466714,-3.0069722,-0.629479485,-4.998946996,-7.525345664,-1.666118628,-2.457474161,-6.052316108,-4.802773595,-2.167894625,-0.284591062,-5.125936757,-3.648330162,-0.750758911
2021-05-11 03:00:00-02:00,-3.24513705,-3.593769017,-6.409266106,-2.385341382,-2.234938054,-5.904115794,-5.43975691,-3.700383233,-3.790497868,-1.476649667,-5.815838237,-4.453661525,-7.019966522,-3.197907397,-0.941031312,-2.634108056,-3.695994671,-3.520855961,-3.72382756,-0.40143198,-4.33429292,-2.028419542,-7.434127245,-3.428824369,-7.989641109,-1.033313327,-0.274359259,-16.47837828,-2.218390895,-4.525215373,-4.666691856,-3.708016375,-1.348137021,-1.6464047,-3.839944112,-5.759229394,-0.579084199,-0.261007845,-3.603199941,-0.358747779,-5.159981704,-3.266513945,-3.723944463,-1.717897506,-1.209304495,-35.88726196,-1.691905105,-1.289514015,-3.34054865,-4.594346756,-5.971026229,-1.89861682,-0.366168279,-1.645546328,-4.144297485,-10.54492559,-7.019478636,-2.172209104,-1.186966931,-2.03303333,-1.142399978,-1.081677248,-0.760596366,-1.489188471,-1.093348271,-0.887622161,-1.572619437,-5.085367396,-3.497808835,-2.578718214,-12.63694632,-10.11204449,-7.937834108,-4.077884119,-0.528209045,-4.489217271,-5.612229473,-3.445630837,-5.317084539,-4.387358613,-11.03100332,-1.341540263,-2.990428558,-3.006686028,-0.629479485,-5.075679291,-7.525135804,-1.589023847,-2.457397849,-5.975145015,-4.879238797,-2.321778935,-0.284839078,-5.202764443,-3.725138771,-0.75108324
2021-05-11 03:05:00-02:00,-3.398887814,-3.593826252,-6.409151637,-2.384978897,-2.234957132,-5.904611826,-5.59343136,-3.777153684,-3.790536024,-1.630533977,-5.6628506,-4.068798124,-7.020100069,-3.274964021,-1.017935311,-2.634069899,-3.465110972,-3.674797505,-3.646866327,-0.709162444,-4.333930435,-2.028362308,-6.895551237,-3.582861304,-8.066564185,-1.033294248,-0.197512494,-16.01687797,-2.218448129,-4.679042449,-4.743614933,-3.554074831,-0.578696393,-1.723213308,-3.993637641,-5.836038002,-0.579046043,-0.33743489,-3.603123628,-0.512651167,-4.92904077,-3.189629024,-3.877580757,-1.717935662,-1.209228182,-35.65784728,-1.691638011,-1.443493716,-3.263530182,-4.748231067,-5.971274245,-1.821560196,-0.366378138,-1.491566627,-4.144259329,-10.46811698,-7.019383245,-2.095228793,-1.110005697,-2.032937939,-0.988439355,-1.081581858,-0.760539131,-1.412227238,-1.093291037,-0.887564927,-1.726179418,-4.931254148,-3.420828524,-2.655641291,-12.56027126,-10.26617681,-8.476295647,-4.770268124,-0.528247201,-4.02737356,-5.611924223,-3.368364353,-5.317027304,-4.387396769,-10.7234064,-1.264540874,-2.990390402,-3.006438012,-0.629479485,-5.152430665,-7.524945023,-1.511967223,-2.30349446,-5.821146236,-4.801876922,-2.244894014,-0.285087094,-5.433419205,-3.648101225,-0.751426646
2021-05-11 03:10:00-02:00,-3.398811501,-3.593902564,-6.332114091,-2.461596724,-2.081187291,-5.751242626,-5.593259657,-3.777058294,-3.790574181,-1.630572133,-5.586786039,-3.453241806,-7.097156692,-3.121270492,-0.940974078,-2.634031743,-3.388054348,-3.598007976,-3.492982016,-0.863065832,-4.564356259,-2.105266306,-6.664648459,-3.583052086,-7.989660187,-0.956371171,-0.274511884,-15.55533951,-2.218486286,-4.602100294,-4.743614933,-3.553998518,-0.65540961,-1.492329608,-3.916581017,-5.528231226,-0.50208481,-0.183111783,-3.603047316,-0.435747168,-4.544291838,-2.958897949,-3.954274896,-1.794896895,-1.286074947,-35.65912551,-1.768313072,-1.289762031,-3.186549871,-4.825230456,-5.509964721,-1.590676496,-0.36656892,-1.491452158,-3.91347102,-10.16055822,-7.096249087,-2.01826756,-1.033063542,-1.878977316,-1.142190118,-1.004582468,-0.760500975,-1.335266005,-1.247099034,-0.810603694,-1.572123405,-5.161794441,-3.420828524,-2.501795137,-12.63730881,-9.881771289,-8.784007032,-5.001056433,-0.451362281,-4.103991386,-5.534676818,-3.368001869,-5.31697007,-4.310511848,-10.33894364,-1.264483639,-3.0672944,-3.00624723,-0.475633331,-4.998412808,-7.524754241,-1.511833676,-2.303475382,-5.821050845,-4.724572283,-2.167990016,-0.208431111,-5.279458582,-3.648005834,-0.751808209
2021-05-11 03:15:00-02:00,-3.321850268,-3.747825031,-6.408922699,-2.384406553,-2.00430237,-5.982450654,-5.593087954,-3.623135827,-3.790612337,-1.630591212,-5.510683323,-3.222377184,-7.174156082,-3.275326505,-0.864012845,-2.55707051,-3.541786033,-3.598160601,-3.416039861,-0.9400843,-4.717878085,-2.105247228,-6.664553069,-3.814012098,-8.297333416,-1.033294248,-0.19766512,-15.78605151,-2.218524442,-4.67902337,-4.743614933,-3.476999129,-0.885930825,-1.492215139,-3.762620394,-5.528116757,-0.3482005,-0.182634829,-3.526047926,-0.435747168,-5.005715831,-3.189705337,-4.030892723,-1.79495413,-1.285998634,-36.12163696,-2.07579552,-1.289895578,-3.186511714,-4.825306769,-5.510250894,-1.590619262,-0.366721545,-1.72210692,-3.759624866,-10.237653,-7.096172775,-2.095171558,-1.033063542,-1.801939771,-1.219055961,-1.081448311,-0.837385896,-1.258304771,-1.324003033,-0.810565537,-1.57197078,-5.161641816,-3.497732522,-2.655641291,-12.86813527,-9.728039604,-9.399391648,-4.693345047,-0.451400437,-4.334474445,-5.534333411,-3.136851075,-5.086105448,-4.46437708,-10.10838427,-1.264445483,-3.0672944,-3.006075527,-0.398710254,-4.998241104,-7.524620694,-1.357834897,-2.380360303,-5.974820687,-4.647343955,-2.244913092,-0.208698205,-4.971651806,-3.724852598,-0.752132538
2021-05-11 03:20:00-02:00,-3.091119193,-3.440228114,-6.178058078,-2.230312383,-1.773533139,-6.059755294,-5.59291625,-3.546098281,-3.713765573,-1.63061029,-5.511522761,-3.145358717,-6.481962859,-3.044824369,-0.787051611,-2.4031862,-3.4648248,-3.521390149,-3.416020783,-1.017140924,-4.332881137,-2.182132149,-6.587610914,-3.814221957,-7.98962203,-0.956371171,-0.274664509,-14.70918566,-2.064716444,-4.371369219,-4.589768779,-3.246153586,-1.039586197,-1.415177593,-3.68556377,-5.374156134,-0.348162343,-0.259061874,-3.37212546,-0.512670245,-4.390121356,-3.035878261,-3.722876087,-1.795030442,-1.208999245,-34.8915927,-1.921796741,-1.290048203,-3.109550481,-4.825383081,-5.433671223,-1.667504183,-0.36687417,-1.645069374,-3.759605788,-10.16088255,-7.019192464,-2.095133402,-1.109986619,-1.801825302,-1.295940881,-1.004487078,-0.837347739,-1.258266615,-1.247079956,-0.810527381,-1.494895078,-5.08460427,-3.420752211,-2.655641291,-12.56044296,-9.035770068,-9.091680262,-3.924114278,-0.52836167,-4.334283663,-5.303278008,-2.75193044,-5.009086981,-4.387434925,-9.954747974,-1.264407327,-2.99040948,-3.005884746,-0.398710254,-5.075011556,-7.370660072,-1.511528426,-2.303418148,-5.974801608,-4.493230708,-2.244913092,-0.208965299,-5.125402569,-3.724776286,-0.829322708
2021-05-11 03:25:00-02:00,-3.091176428,-3.440380739,-6.177981765,-2.153160369,-1.312013756,-5.906271624,-5.515840548,-3.545945656,-3.790803118,-1.553725369,-5.51245759,-2.683743942,-5.866730868,-2.891226231,-0.787013455,-2.403167122,-3.387882645,-3.598446773,-3.415982627,-0.786524318,-3.947865112,-2.028228761,-5.89541769,-3.58362443,-7.604949411,-0.879448095,-0.197779588,-14.01704968,-2.064754601,-4.448368609,-4.666730012,-3.169173274,-0.962529573,-1.261216971,-3.608526225,-5.374041665,-0.348124187,-0.258527686,-3.372049147,-0.358824092,-4.236027186,-2.882032107,-3.799493913,-1.795106755,-1.208922932,-35.12314413,-1.921682272,-1.136354675,-3.032589248,-4.748536317,-5.203226321,-1.513619872,-0.367026795,-1.721877982,-3.682644555,-9.776419787,-6.86534631,-2.171980166,-1.033063542,-1.647864679,-1.295883647,-1.004448921,-0.837309583,-1.335151536,-1.247079956,-0.810489225,-1.340896299,-5.084470723,-3.343829134,-2.578718214,-12.32973097,-8.95896146,-9.399410726,-4.231844742,-0.451476749,-4.180342119,-5.379991225,-2.828605501,-4.932106669,-4.387415847,-9.8779966,-1.26436917,-2.990485792,-2.928809044,-0.398710254,-4.844127857,-7.447449602,-1.588298878,-2.226514149,-5.667109301,-4.108329151,-2.167970937,-0.209232393,-5.3561718,-3.724680895,-0.829704271
2021-05-11 03:30:00-02:00,-3.091214584,-3.286706288,-6.331751606,-2.076008354,-1.312032834,-5.752807034,-5.669553155,-3.545812109,-3.637071433,-1.399917372,-5.282680423,-2.145263326,-5.482287187,-2.968378245,-0.863898376,-2.480090198,-3.080152181,-3.290868934,-3.415944471,-1.171292328,-3.793675551,-1.874325372,-5.587878008,-3.583757977,-7.22029587,-1.03327517,-0.505490974,-13.09414446,-1.98786968,-4.371521844,-4.359094939,-3.16911604,-1.039319103,-1.107256348,-3.53158407,-5.450850273,-0.271162954,-0.181032265,-3.448895911,-0.435747168,-3.928144097,-2.651262876,-3.645342509,-1.795221224,-1.208846619,-35.04698418,-1.613894573,-0.982661146,-2.955628015,-4.748612629,-5.049723574,-1.513581716,-0.36717942,-1.721763513,-3.759567632,-9.468899183,-6.788461389,-2.018019544,-0.956140465,-1.64775021,-1.218884257,-0.927487688,-0.914194504,-1.258190303,-1.247079956,-0.887374145,-1.109993521,-4.853548867,-3.497713444,-2.578718214,-11.94530636,-8.574498701,-9.091851965,-3.847229357,-0.297668752,-4.103323651,-5.302858289,-2.751434408,-4.701280204,-4.464338924,-10.03201446,-1.187407937,-2.913658106,-2.851790576,-0.321787177,-4.613301391,-7.370431134,-1.434300099,-2.149591072,-5.43634007,-4.03113898,-2.167932781,-0.13257641,-5.202363802,-3.570720272,-0.830104912
2021-05-11 03:35:00-02:00,-3.09125274,-3.286839835,-6.254771295,-2.075779416,-1.235147914,-5.753226753,-5.592515609,-3.391851487,-3.714108979,-1.399955528,-5.206787566,-2.452936555,-5.482535203,-2.891684106,-0.710014066,-2.403148043,-3.080094946,-3.290983403,-3.415925392,-1.017598799,-3.947216455,-2.105075525,-5.43407001,-3.506987525,-6.989583874,-1.110179169,-0.428625132,-12.70977709,-1.987907836,-4.602367388,-4.512979249,-3.322904959,-1.039204634,-1.260988033,-3.377814228,-5.373812728,-0.348047874,-0.180459921,-3.371896522,-0.589593322,-4.00489547,-2.80510903,-3.721979414,-1.795373849,-1.208770307,-34.97086239,-1.613818261,-0.982794693,-2.955589858,-4.517919711,-5.127009135,-1.744312791,-0.367332045,-1.644725968,-3.759605788,-9.699859195,-6.865422622,-2.325597382,-1.033063542,-1.724558818,-1.295731022,-0.927449532,-0.914156348,-1.258152146,-1.170156879,-0.810412912,-1.186802129,-4.85341532,-3.420809445,-2.578718214,-11.86865038,-8.574651326,-8.861349829,-3.385652739,-0.374629985,-3.949401185,-5.225725352,-2.828128547,-4.624280815,-4.464338924,-10.33989755,-1.187369781,-2.913753497,-2.697849031,-0.2448641,-4.690167234,-7.370354821,-1.511070551,-2.149591072,-5.359416993,-4.030910042,-2.167894625,-0.132843504,-5.202363802,-3.570605803,-0.830410163
2021-05-11 03:40:00-02:00,-3.091290897,-3.286935226,-6.485521447,-2.152473556,-1.08139715,-5.676742473,-5.592382062,-3.237909942,-3.714223448,-1.399993684,-5.284779019,-1.683763021,-5.098225069,-2.584220736,-0.709975909,-2.172340656,-3.233883866,-3.521867103,-3.492829391,-0.863962505,-3.946892126,-2.181979524,-5.357185089,-3.430217073,-7.143506341,-1.110179169,-0.428720523,-11.71017773,-1.987945993,-4.679309543,-4.359171252,-3.322828647,-1.192955397,-1.414719718,-3.301062855,-5.29679426,-0.271086641,-0.256791575,-3.371820209,-0.589593322,-3.92780069,-2.728185953,-3.490943089,-1.872449551,-1.208693994,-34.81777936,-1.76760718,-1.059832239,-3.186320933,-4.748765255,-5.435063928,-1.590428481,-0.367484671,-1.567688422,-3.759643944,-9.700030898,-6.865403544,-2.402405991,-1.186909696,-1.878290503,-1.449500863,-1.004334452,-0.914118191,-1.335037067,-1.093233802,-0.810374756,-1.340533814,-5.084070082,-3.420790367,-2.655641291,-12.02276363,-8.420900563,-9.246232307,-3.53942258,-0.374668141,-3.949382107,-5.148592416,-2.750976533,-4.93189681,-4.387415847,-10.10930002,-1.418100855,-2.990733808,-2.697772719,-0.167941023,-4.690071843,-7.524105585,-1.433994849,-2.149552916,-5.282417604,-3.953738949,-2.090933392,-0.133110598,-5.510037032,-3.493587336,-0.753773258
