epoch 1 , train loss: 0.5900122552534801 , validation loss: 0.37475600549816224
Train MAE: 46.135471293079064 , Train MAPE: 1958468864.0 , Train RMSE: 7.526033401489258
epoch 2 , train loss: 0.504578035022 , validation loss: 0.4149967969268835
Train MAE: 42.42128748286526 , Train MAPE: 2502290176.0 , Train RMSE: 6.959848403930664
epoch 3 , train loss: 0.4833071889791004 , validation loss: 0.3902884279138486
Train MAE: 41.60036068658631 , Train MAPE: 1853345536.0 , Train RMSE: 6.811570644378662
epoch 4 , train loss: 0.4651745084399803 , validation loss: 0.38116608565975085
Train MAE: 40.78280593322275 , Train MAPE: 1938799744.0 , Train RMSE: 6.682570934295654
epoch 5 , train loss: 0.45043771264171617 , validation loss: 0.3832354069011328
Train MAE: 40.16922816081904 , Train MAPE: 2168705280.0 , Train RMSE: 6.575866222381592
epoch 6 , train loss: 0.42577969692973955 , validation loss: 0.37675529320838425
